Production Date,Production Line,Equipment Efficiency,Quality Control Metric,Production Speed,Defects,Maintenance Hours,Worker Productivity
2023-09-22,Line A,86.72%,0.93,93 units/hour,5,5,82.12%
2023-07-10,Line A,93.99%,0.88,107 units/hour,0,4,79.66%
2023-07-14,Line A,94.46%,0.93,101 units/hour,3,2,86.82%
2023-03-09,Line B,86.46%,0.88,114 units/hour,4,8,77.31%
2023-04-11,Line B,88.60%,0.87,94 units/hour,7,6,83.71%
2023-12-30,Line A,94.29%,0.87,103 units/hour,2,6,87.22%
2023-09-14,Line B,85.61%,0.89,116 units/hour,6,4,88.91%
2023-05-05,Line B,93.09%,0.86,93 units/hour,8,4,86.71%
2023-01-19,Line B,86.44%,0.94,105 units/hour,1,2,78.73%
2023-06-29,Line A,92.27%,0.92,106 units/hour,7,6,81.07%
2023-01-12,Line A,87.87%,0.86,111 units/hour,5,7,80.01%
2023-07-21,Line B,87.80%,0.87,117 units/hour,7,6,83.28%
2023-08-04,Line B,92.46%,0.94,101 units/hour,0,2,77.44%
2023-07-26,Line B,92.88%,0.95,97 units/hour,2,2,85.06%
2023-07-15,Line A,94.65%,0.89,97 units/hour,8,5,80.78%
2023-12-02,Line A,93.60%,0.89,102 units/hour,6,3,87.08%
2023-06-21,Line A,88.50%,0.94,103 units/hour,0,5,85.24%
2023-08-21,Line B,94.16%,0.90,119 units/hour,4,8,85.14%
2023-02-24,Line A,88.80%,0.86,102 units/hour,8,2,79.54%
2023-01-24,Line B,88.12%,0.87,107 units/hour,5,6,89.13%
2023-11-28,Line A,90.16%,0.94,116 units/hour,2,5,89.29%
2023-10-21,Line A,92.42%,0.91,103 units/hour,3,4,87.03%
2023-02-23,Line B,91.37%,0.86,98 units/hour,6,5,80.56%
2023-04-25,Line B,86.69%,0.92,111 units/hour,7,8,81.46%
2023-04-10,Line B,88.09%,0.85,90 units/hour,5,2,87.97%
2023-04-06,Line B,86.91%,0.90,117 units/hour,6,4,75.85%
2023-06-05,Line B,85.04%,0.92,107 units/hour,8,7,76.58%
2023-11-26,Line A,93.65%,0.90,103 units/hour,4,2,75.04%
2023-04-07,Line B,85.60%,0.90,98 units/hour,1,7,82.21%
2023-10-04,Line A,91.20%,0.85,116 units/hour,0,8,78.54%
2023-07-07,Line B,85.82%,0.86,111 units/hour,6,8,81.35%
2023-03-09,Line B,93.16%,0.88,101 units/hour,4,2,79.13%
2023-11-20,Line B,88.55%,0.91,91 units/hour,1,2,87.73%
2023-12-24,Line B,85.71%,0.93,101 units/hour,0,6,82.24%
2023-12-29,Line A,91.46%,0.86,92 units/hour,3,8,88.67%
2023-10-10,Line B,91.91%,0.86,116 units/hour,4,5,84.83%
2023-07-11,Line A,90.02%,0.92,104 units/hour,7,8,86.64%
2023-05-20,Line B,89.05%,0.85,93 units/hour,2,5,85.19%
2023-09-09,Line B,88.64%,0.94,104 units/hour,0,3,82.87%
2023-02-23,Line B,89.55%,0.85,99 units/hour,7,6,81.78%
2023-11-18,Line B,87.00%,0.86,106 units/hour,1,7,86.46%
2023-09-10,Line B,90.57%,0.86,97 units/hour,8,4,88.97%
2023-01-28,Line B,93.25%,0.94,94 units/hour,0,4,81.41%
2023-04-07,Line A,88.07%,0.89,105 units/hour,8,6,77.38%
2023-08-20,Line B,89.36%,0.95,93 units/hour,4,5,84.33%
2023-07-09,Line B,89.40%,0.94,120 units/hour,1,5,86.33%
2023-06-22,Line A,88.46%,0.94,97 units/hour,7,2,87.31%
2023-07-14,Line B,93.67%,0.94,98 units/hour,8,4,78.35%
2023-11-08,Line A,94.46%,0.91,105 units/hour,2,5,75.90%
2023-04-28,Line B,87.82%,0.90,100 units/hour,4,5,76.55%
2023-05-18,Line B,86.41%,0.90,96 units/hour,6,5,81.88%
2023-11-11,Line B,88.06%,0.85,111 units/hour,4,2,89.11%
2023-01-28,Line A,88.86%,0.92,90 units/hour,1,6,87.75%
2023-04-29,Line B,92.86%,0.91,107 units/hour,3,7,76.82%
2023-05-08,Line B,88.82%,0.85,114 units/hour,1,5,80.98%
2023-04-02,Line A,86.22%,0.94,106 units/hour,1,3,75.42%
2023-12-01,Line A,94.27%,0.90,117 units/hour,8,5,75.09%
2023-10-24,Line B,88.44%,0.86,115 units/hour,0,7,89.22%
2023-04-22,Line B,86.87%,0.94,92 units/hour,4,7,82.61%
2023-07-25,Line A,94.56%,0.88,113 units/hour,6,7,75.02%
2023-11-13,Line B,87.94%,0.93,104 units/hour,4,6,88.94%
2023-06-01,Line A,87.34%,0.92,93 units/hour,7,5,82.86%
2023-06-23,Line A,86.42%,0.92,110 units/hour,5,5,84.78%
2023-02-09,Line A,94.81%,0.88,108 units/hour,1,6,77.08%
2023-09-08,Line B,89.46%,0.90,100 units/hour,3,2,75.45%
2023-12-13,Line B,92.76%,0.94,117 units/hour,2,5,89.37%
2023-11-23,Line B,94.98%,0.91,105 units/hour,1,7,83.48%
2023-04-06,Line B,86.22%,0.88,99 units/hour,4,8,82.21%
2023-01-07,Line B,85.01%,0.87,93 units/hour,2,6,87.51%
2023-01-30,Line A,88.99%,0.88,99 units/hour,8,2,89.51%
2023-01-18,Line B,90.47%,0.86,91 units/hour,6,2,88.20%
2023-08-12,Line A,85.88%,0.94,101 units/hour,0,8,83.99%
2023-07-26,Line A,85.81%,0.86,101 units/hour,3,8,78.94%
2023-11-17,Line B,92.63%,0.90,99 units/hour,3,5,84.45%
2023-11-02,Line B,86.54%,0.90,93 units/hour,8,8,78.18%
2023-12-15,Line B,93.32%,0.86,109 units/hour,3,4,78.05%
2023-12-11,Line A,85.09%,0.95,108 units/hour,8,2,84.08%
2023-10-29,Line B,94.90%,0.86,115 units/hour,1,5,81.50%
2023-12-01,Line A,89.91%,0.92,105 units/hour,6,8,85.08%
2023-08-28,Line B,89.93%,0.87,101 units/hour,6,3,87.78%
2023-11-08,Line A,89.03%,0.85,114 units/hour,6,8,79.71%
2023-02-28,Line B,87.62%,0.88,101 units/hour,3,5,89.50%
2023-03-02,Line B,94.64%,0.94,107 units/hour,3,8,88.89%
2023-01-11,Line A,89.28%,0.94,92 units/hour,2,3,77.21%
2023-06-30,Line A,89.74%,0.93,93 units/hour,4,3,77.59%
2023-04-21,Line B,85.58%,0.94,91 units/hour,6,8,81.48%
2023-02-04,Line B,90.03%,0.87,104 units/hour,6,3,80.60%
2023-02-21,Line A,89.87%,0.85,101 units/hour,8,3,79.62%
2023-06-11,Line A,94.29%,0.95,92 units/hour,5,8,89.12%
2023-01-12,Line A,94.40%,0.94,108 units/hour,1,6,86.35%
2023-12-22,Line A,88.34%,0.89,107 units/hour,6,2,83.34%
2023-11-17,Line A,90.73%,0.93,96 units/hour,1,8,86.46%
2023-05-09,Line B,90.38%,0.89,110 units/hour,4,6,80.99%
2023-05-28,Line A,94.43%,0.87,97 units/hour,0,7,76.20%
2023-03-24,Line A,90.47%,0.92,105 units/hour,0,7,75.99%
2023-03-11,Line A,85.60%,0.94,117 units/hour,0,2,77.84%
2023-08-15,Line B,85.38%,0.87,99 units/hour,8,7,85.92%
2023-10-19,Line B,91.04%,0.91,117 units/hour,1,4,81.86%
2023-02-19,Line A,88.64%,0.89,99 units/hour,2,6,83.22%
2023-02-23,Line A,88.64%,0.90,118 units/hour,8,3,87.36%
2023-10-27,Line B,94.31%,0.90,120 units/hour,0,4,78.47%
2023-07-21,Line A,94.62%,0.90,120 units/hour,3,4,79.18%
2023-03-03,Line B,87.41%,0.92,94 units/hour,2,4,84.19%
2023-11-25,Line B,89.65%,0.95,117 units/hour,6,8,82.71%
2023-04-06,Line B,86.68%,0.87,102 units/hour,5,2,75.82%
2023-07-06,Line A,85.51%,0.89,119 units/hour,4,3,76.60%
2023-07-22,Line A,91.02%,0.92,117 units/hour,3,6,87.56%
2023-04-27,Line A,87.44%,0.85,117 units/hour,0,2,82.50%
2023-12-20,Line B,86.95%,0.93,108 units/hour,7,6,80.66%
2023-06-09,Line B,85.05%,0.87,116 units/hour,8,3,85.64%
2023-06-26,Line A,90.76%,0.88,91 units/hour,5,5,80.64%
2023-09-24,Line B,91.97%,0.90,92 units/hour,4,2,87.46%
2023-10-24,Line B,90.41%,0.95,94 units/hour,5,4,86.65%
2023-09-19,Line A,92.49%,0.92,103 units/hour,3,6,76.95%
2023-03-27,Line B,94.52%,0.92,108 units/hour,8,6,89.92%
2023-05-12,Line B,89.99%,0.94,116 units/hour,6,5,85.58%
2023-09-23,Line A,85.41%,0.93,103 units/hour,4,5,75.95%
2023-09-05,Line A,86.57%,0.88,91 units/hour,2,6,85.35%
2023-10-20,Line B,85.43%,0.93,112 units/hour,2,5,79.00%
2023-12-16,Line A,90.50%,0.90,94 units/hour,8,7,88.31%
2023-06-26,Line A,90.80%,0.95,117 units/hour,3,4,87.52%
2023-01-21,Line B,87.79%,0.86,111 units/hour,7,8,89.77%
2023-10-26,Line B,90.14%,0.92,108 units/hour,1,4,86.03%
2023-03-16,Line B,86.40%,0.95,99 units/hour,7,6,84.23%
2023-06-09,Line A,92.73%,0.88,119 units/hour,4,6,87.82%
2023-07-03,Line A,87.94%,0.94,107 units/hour,8,4,80.87%
2023-02-24,Line A,90.34%,0.86,109 units/hour,4,3,86.78%
2023-08-09,Line A,93.40%,0.87,94 units/hour,2,8,89.07%
2023-10-05,Line B,94.15%,0.90,96 units/hour,6,8,87.70%
2023-01-04,Line A,94.05%,0.88,105 units/hour,8,2,87.89%
2023-01-12,Line A,91.97%,0.93,96 units/hour,3,3,76.44%
2023-01-05,Line B,91.64%,0.86,90 units/hour,7,7,84.54%
2023-10-24,Line B,92.90%,0.95,90 units/hour,7,2,87.65%
2023-06-15,Line B,87.85%,0.86,101 units/hour,8,5,82.23%
2023-03-29,Line A,92.23%,0.91,111 units/hour,0,2,78.83%
2023-11-08,Line B,89.65%,0.92,116 units/hour,6,8,88.69%
2023-06-13,Line B,94.43%,0.92,101 units/hour,1,2,82.13%
2023-11-21,Line B,90.95%,0.93,104 units/hour,5,7,84.57%
2023-09-05,Line A,94.09%,0.89,114 units/hour,3,8,82.67%
2023-10-11,Line B,88.03%,0.90,101 units/hour,3,7,76.21%
2023-10-22,Line B,92.91%,0.92,112 units/hour,1,6,81.03%
2023-09-20,Line A,87.71%,0.89,100 units/hour,7,5,78.54%
2023-09-23,Line A,94.46%,0.85,120 units/hour,0,7,85.21%
2023-07-27,Line A,92.27%,0.87,103 units/hour,7,3,80.90%
2023-07-29,Line B,93.42%,0.89,117 units/hour,5,4,75.25%
2023-03-07,Line A,85.57%,0.89,91 units/hour,7,2,83.71%
2023-01-14,Line A,95.00%,0.91,120 units/hour,5,5,84.39%
2023-08-15,Line A,93.52%,0.87,101 units/hour,3,6,79.77%
2023-03-27,Line A,87.36%,0.94,115 units/hour,2,7,80.16%
2023-02-04,Line A,92.48%,0.91,104 units/hour,3,6,78.04%
2023-10-19,Line A,91.86%,0.88,108 units/hour,2,7,75.27%
2023-06-25,Line A,86.58%,0.87,99 units/hour,4,4,75.88%
2023-01-06,Line B,92.68%,0.89,119 units/hour,7,5,77.08%
2023-06-03,Line B,92.41%,0.94,107 units/hour,2,4,79.08%
2023-05-03,Line A,93.06%,0.90,117 units/hour,3,7,86.90%
2023-05-01,Line A,88.40%,0.89,102 units/hour,8,7,83.53%
2023-12-27,Line B,93.53%,0.93,118 units/hour,7,4,77.01%
2023-09-13,Line A,92.77%,0.93,107 units/hour,7,7,75.15%
2023-10-29,Line A,87.13%,0.92,102 units/hour,4,6,87.58%
2023-09-09,Line B,86.17%,0.94,91 units/hour,2,5,75.60%
2023-01-11,Line B,92.50%,0.95,92 units/hour,3,7,78.76%
2023-09-26,Line B,85.15%,0.92,95 units/hour,3,8,81.89%
2023-08-30,Line A,90.29%,0.87,117 units/hour,0,6,76.25%
2023-02-07,Line B,85.63%,0.95,99 units/hour,0,2,77.28%
2023-01-19,Line B,89.21%,0.86,102 units/hour,1,7,75.22%
2023-08-06,Line B,86.78%,0.88,119 units/hour,8,6,80.40%
2023-03-10,Line B,91.55%,0.88,93 units/hour,5,7,86.96%
2023-11-15,Line B,91.58%,0.94,116 units/hour,0,3,85.69%
2023-06-15,Line B,86.12%,0.89,95 units/hour,6,5,83.05%
2023-04-02,Line A,90.49%,0.94,120 units/hour,4,8,81.18%
2023-04-29,Line B,85.28%,0.91,98 units/hour,3,3,86.01%
2023-08-13,Line B,87.63%,0.90,90 units/hour,0,7,78.98%
2023-09-22,Line B,85.75%,0.88,115 units/hour,3,5,80.01%
2023-12-29,Line A,87.17%,0.85,91 units/hour,4,8,88.03%
2023-05-21,Line B,93.43%,0.89,90 units/hour,6,2,80.58%
2023-11-24,Line A,88.98%,0.89,101 units/hour,5,2,83.29%
2023-06-20,Line A,91.17%,0.90,110 units/hour,4,5,77.53%
2023-09-16,Line A,91.52%,0.87,107 units/hour,2,5,80.19%
2023-08-09,Line B,86.00%,0.86,93 units/hour,2,6,85.50%
2023-12-05,Line A,92.26%,0.92,90 units/hour,0,5,79.94%
2023-04-21,Line B,90.09%,0.91,103 units/hour,7,3,87.20%
2023-01-08,Line A,94.80%,0.88,98 units/hour,6,6,76.00%
2023-09-15,Line B,88.30%,0.93,120 units/hour,1,5,78.38%
2023-06-13,Line A,87.14%,0.94,106 units/hour,1,2,86.50%
2023-09-08,Line A,85.43%,0.89,93 units/hour,1,6,75.61%
2023-11-22,Line A,87.91%,0.89,96 units/hour,8,5,81.48%
2023-04-29,Line B,88.96%,0.93,105 units/hour,8,5,86.56%
2023-09-24,Line A,91.57%,0.87,117 units/hour,7,7,82.39%
2023-06-03,Line A,87.27%,0.92,108 units/hour,0,6,85.66%
2023-03-15,Line A,89.38%,0.93,114 units/hour,6,6,81.25%
2023-08-08,Line A,88.51%,0.92,106 units/hour,1,8,83.82%
2023-07-26,Line B,91.19%,0.93,115 units/hour,6,8,84.44%
2023-09-02,Line B,90.47%,0.91,95 units/hour,4,3,79.85%
2023-06-19,Line A,85.97%,0.91,108 units/hour,5,5,81.73%
2023-05-02,Line B,85.00%,0.91,90 units/hour,4,5,89.75%
2023-05-18,Line B,92.92%,0.94,117 units/hour,4,4,76.50%
2023-07-27,Line A,85.11%,0.88,101 units/hour,1,5,87.08%
2023-06-10,Line A,87.90%,0.88,119 units/hour,8,2,79.52%
2023-07-02,Line B,86.41%,0.93,109 units/hour,4,3,75.33%
2023-04-24,Line B,92.75%,0.93,97 units/hour,6,5,89.83%
2023-08-15,Line A,90.00%,0.91,105 units/hour,2,3,87.03%
2023-12-10,Line A,87.84%,0.87,115 units/hour,4,5,80.59%
2023-07-07,Line A,85.78%,0.93,93 units/hour,5,3,78.53%
2023-09-25,Line A,93.73%,0.89,119 units/hour,7,7,88.37%
2023-11-07,Line A,93.95%,0.86,116 units/hour,1,8,86.19%
2023-02-11,Line A,85.14%,0.86,116 units/hour,4,5,76.61%
2023-03-18,Line A,88.99%,0.91,91 units/hour,5,3,84.65%
2023-02-01,Line A,91.60%,0.90,117 units/hour,8,4,85.47%
2023-02-27,Line A,89.10%,0.91,113 units/hour,1,4,88.67%
2023-03-12,Line A,90.74%,0.93,105 units/hour,2,4,83.98%
2023-07-16,Line A,85.36%,0.87,105 units/hour,2,4,79.03%
2023-10-02,Line B,93.02%,0.93,98 units/hour,1,8,78.48%
2023-12-17,Line A,89.62%,0.92,108 units/hour,4,5,80.13%
2023-06-17,Line A,89.68%,0.93,97 units/hour,6,3,77.51%
2023-10-31,Line A,88.67%,0.95,99 units/hour,1,3,79.67%
2023-12-29,Line A,89.01%,0.93,119 units/hour,8,8,83.37%
2023-10-21,Line B,93.13%,0.87,104 units/hour,0,6,80.54%
2023-10-15,Line A,87.71%,0.91,98 units/hour,1,8,81.26%
2023-04-24,Line A,89.41%,0.90,116 units/hour,0,2,89.90%
2023-08-07,Line B,93.55%,0.91,91 units/hour,6,8,85.35%
2023-01-26,Line A,86.25%,0.91,118 units/hour,8,4,81.25%
2023-07-29,Line A,91.77%,0.93,110 units/hour,5,3,85.76%
2023-01-28,Line A,87.82%,0.92,117 units/hour,6,5,88.40%
2023-01-11,Line A,88.20%,0.87,120 units/hour,4,4,87.97%
2023-02-04,Line A,93.55%,0.90,103 units/hour,6,8,82.55%
2023-08-29,Line B,86.63%,0.86,111 units/hour,2,6,80.15%
2023-02-04,Line A,91.86%,0.92,94 units/hour,5,2,89.26%
2023-09-29,Line B,93.00%,0.93,99 units/hour,2,2,78.63%
2023-03-11,Line B,87.16%,0.88,102 units/hour,6,7,75.71%
2023-05-07,Line A,88.49%,0.90,103 units/hour,6,2,85.37%
2023-08-05,Line B,85.36%,0.85,111 units/hour,3,6,81.92%
2023-10-23,Line A,94.15%,0.87,119 units/hour,0,2,87.15%
